SKU,Name,Length,Width,Height,Weight,URL
00102065,"LYCKSELE LÖVÅSMattress,140x188 cm",151.0,32.0,32.0,10.1,https://www.ikea.com/nl/en/p/00102065/
00031841,"EDSVIKDual-control kitchen mixer tap, chrome-plated",41.0,25.0,6.0,1.54,https://www.ikea.com/nl/en/p/00031841/
00089163,"KONCISGarlic press, stainless steel",16.0,5.0,3.0,0.15,https://www.ikea.com/nl/en/p/00089163/
00081534,"KONCISCan opener, stainless steel",18.0,5.0,4.0,0.19,https://www.ikea.com/nl/en/p/00081534/
00069768,"OMARShelving unit, galvanised,46x36x94 cm",92.0,36.0,10.0,5.22,https://www.ikea.com/nl/en/p/00069768/
00110640,"LERSTAFloor/reading lamp, aluminium chrome effect",59.0,26.0,14.0,2.8,https://www.ikea.com/nl/en/p/00110640/
00103343,"MALMChest of 2 drawers, black-brown,40x55 cm",55.0,47.0,13.0,17.3,https://www.ikea.com/nl/en/p/00103343/
00118523,"PACHIRA AQUATICAPotted plant, Guinea chestnut,27 cm",168.0,78.0,78.0,6.93,https://www.ikea.com/nl/en/p/00118523/
00104291,"LACKCoffee table, black-brown,118x78 cm",140.0,80.0,7.0,17.48,https://www.ikea.com/nl/en/p/00104291/
00130129,"SAMLABox, transparent,78x56x18 cm/55 l",78.0,56.0,18.0,1.58,https://www.ikea.com/nl/en/p/00130129/
00130167,"DUKTIG5-piece toy cookware set, stainless steel colour",22.0,15.0,9.0,0.61,https://www.ikea.com/nl/en/p/00130167/
00102452,"MYDALBunk bed frame, pine,90x200 cm",204.0,37.0,10.0,56.0,https://www.ikea.com/nl/en/p/00102452/
00102975,"SAMLABox, transparent,56x39x42 cm/65 l",56.0,42.0,39.0,1.75,https://www.ikea.com/nl/en/p/00102975/
00132798,"GOSIG GOLDENSoft toy, dog/golden retriever,40 cm",32.0,23.0,15.0,0.2,https://www.ikea.com/nl/en/p/00132798/
00138432,"BRANÄSBasket, rattan,32x34x32 cm",63.0,33.0,8.0,1.7,https://www.ikea.com/nl/en/p/00138432/
00141401,"FABLER BJÖRNSoft toy, beige,21 cm",22.0,10.0,6.0,0.03,https://www.ikea.com/nl/en/p/00141401/
00146776,"FORSÅWork lamp, black",35.0,18.0,10.0,2.56,https://www.ikea.com/nl/en/p/00146776/
