SKU,Name,Weight,Length,Width,Height,Volume_cm3,URL
226315,"VARIERACover cap, white",0.01,16.0,8.0,1.0,128.0,https://www.ikea.com/nl/en/p/00226315/
461181,"MÅLAWax crayon, mixed colours",0.1,11.0,9.0,2.0,198.0,https://www.ikea.com/nl/en/p/00461181/
423028,"VISBÄCKPoster hanger, bamboo,40 cm",0.26,40.0,3.0,3.0,360.0,https://www.ikea.com/nl/en/p/00423028/
365924,"NORDLIModular chest of 2 drawers, anthracite,40x45 cm",15.0,75.0,46.0,9.0,31050.0,https://www.ikea.com/nl/en/p/00365924/
317527,"ELVARLIBracket for post, white,36 cm",0.36,38.0,4.0,3.0,456.0,https://www.ikea.com/nl/en/p/00317527/
459022,"KLOCKRENPan lid, glass,25 cm",0.55,25.0,25.0,5.0,3125.0,https://www.ikea.com/nl/en/p/00459022/
454086,"VOXTORPDoor, dark grey,30x60 cm",2.82,69.0,30.0,3.0,6210.0,https://www.ikea.com/nl/en/p/00454086/
257646,"KOMPLEMENTGlass shelf, white,50x58 cm",2.69,58.0,52.0,2.0,6032.0,https://www.ikea.com/nl/en/p/00257646/
238865,"VARIERADrawer mat, white,150 cm",0.42,50.0,5.0,5.0,1250.0,https://www.ikea.com/nl/en/p/00238865/
442499,"KUNGSFORSRail, stainless steel,40 cm",0.18,40.0,5.0,3.0,600.0,https://www.ikea.com/nl/en/p/00442499/
457829,"GRUSSTARRDuvet, cool,140x200 cm",1.08,45.0,12.0,12.0,6480.0,https://www.ikea.com/nl/en/p/00457829/
233429,"APTITLIGButcher's block, bamboo,45x36 cm",3.3,46.0,36.0,3.0,4968.0,https://www.ikea.com/nl/en/p/00233429/
444554,"GRILLTIDERBarbecue brush, silicone",0.04,25.0,5.0,2.0,250.0,https://www.ikea.com/nl/en/p/00444554/
459480,"KVARNVIKStorage box with lid, beige,32x35x32 cm",1.22,64.0,49.0,4.0,12544.0,https://www.ikea.com/nl/en/p/00459480/
310960,"CACTACEAEPotted plant, assorted Cactus,12 cm",0.46,18.0,16.0,16.0,4608.0,https://www.ikea.com/nl/en/p/00310960/
205501,"BODBYNDrawer front, off-white,60x40 cm",3.75,69.0,42.0,2.0,5796.0,https://www.ikea.com/nl/en/p/00205501/
212554,"METODCorner wall cabinet, white,68x37x60 cm",18.1,66.0,66.0,8.0,34848.0,https://www.ikea.com/nl/en/p/00212554/
484050,HILDEGUNOven glove,0.1,28.0,20.0,2.0,1120.0,https://www.ikea.com/nl/en/p/00484050/
336432,"GUBBARPHandle, white,116 mm",0.05,13.0,6.0,2.0,156.0,https://www.ikea.com/nl/en/p/00336432/
460577,"VILDKORNPillow, high,60x70 cm",0.81,53.0,16.0,16.0,13568.0,https://www.ikea.com/nl/en/p/00460577/
204672,"UTRUSTAWire basket,60 cm",2.63,56.0,56.0,12.0,37632.0,https://www.ikea.com/nl/en/p/00204672/
454091,"VOXTORPDoor, dark grey,40x60 cm",3.76,69.0,40.0,3.0,8280.0,https://www.ikea.com/nl/en/p/00454091/
408773,"AXSTADDrawer front, matt white,60x10 cm",2.07,69.0,20.0,3.0,4140.0,https://www.ikea.com/nl/en/p/00408773/
426343,"VANILJSTÅNGPlant stand, pine/black,55 cm",2.7,49.0,27.0,15.0,19845.0,https://www.ikea.com/nl/en/p/00426343/
479379,"FÄRGKLARDeep plate, matt dark grey,23 cm",2.98,24.0,24.0,9.0,5184.0,https://www.ikea.com/nl/en/p/00479379/
479421,"FÄRGKLARSide plate, matt dark grey,20 cm",1.73,21.0,21.0,6.0,2646.0,https://www.ikea.com/nl/en/p/00479421/
471222,"VESKENTrolley, white,54x18x71 cm",1.75,54.0,18.0,14.0,13608.0,https://www.ikea.com/nl/en/p/00471222/
